=counta( r[2]c:r_c )	=sum( r[2]c:r_c )	=counta( r[2]c:r_c )		=sum( r[2]c:r_c )	= 100 * rc5 / rc2
		No	No (EEC)	71322

Nottinghamshire	705183	Yes	Yes (EEC)	297191	Nottinghamshire	East Midlands
		No	No (EEC)	147461

Shropshire	249463	Yes	Yes (EEC)	113044	Shropshire	Severn
		No	No (EEC)	43329

Staffordshire	706230	Yes	Yes (EEC)	306518	Staffordshire	Severn
		No	No (EEC)	148252

Warwickshire	327967	Yes	Yes (EEC)	156303	Warwickshire	East Midlands
		No	No (EEC)	67221

West Midlands	1972987	Yes	Yes (EEC)	801913	West Midlands	West Midlands
		No	No (EEC)	429207

Cheshire	633614	Yes	Yes (EEC)	290714	Cheshire	Severn
		No	No (EEC)	123839

Cleveland	392672	Yes	Yes (EEC)	158982	Cleveland	North
		No	No (EEC)	77079

Cumbria	349596	Yes	Yes (EEC)	162545	Cumbria	North
		No	No (EEC)	63564

Durham	444783	Yes	Yes (EEC)	175284	Durham	North
		No	No (EEC)	97724

Greater Manchester	1932717	Yes	Yes (EEC)	797316	Central Manchester	Greater Manchester
		No	No (EEC)	439191

Humberside	607890	Yes	Yes (EEC)	257826	Humberside	Humberside
		No	No (EEC)	122199

Lancashire	1000755	Yes	Yes (EEC)	455170	Lancashire	Lancashire
		No	No (EEC)	208821

Merseyside	1147920	Yes	Yes (EEC)	465625	Merseyside	Lancashire
		No	No (EEC)	252712

North Yorkshire	468998	Yes	Yes (EEC)	234040	North Yorkshire	Yorkshire
		No	No (EEC)	72805

Northumberland	212846	Yes	Yes (EEC)	95980	Northumberland	North
		No	No (EEC)	42645

South Yorkshire	954539	Yes	Yes (EEC)	377916	South Yorkshire	Humberside
		No	No (EEC)	217792

Tyne and Wear	872253	Yes	Yes (EEC)	344069	Newcastle area	North
		No	No (EEC)	202511

West Yorkshire	1485749	Yes	Yes (EEC)	616730	West Yorkshire	Yorkshire
		No	No (EEC)	326993

Clwyd	272798	Yes	Yes (EEC)	123980	Clwyd	Wales
		No	No (EEC)	55424

Dyfed	241415	Yes	Yes (EEC)	109184	Dyfed	Wales
		No	No (EEC)	52264

Gwent	314369	Yes	Yes (EEC)	132557	Mid Glamorgan and Gwent	Wales
		No	No (EEC)	80992

Gwynedd	167706	Yes	Yes (EEC)	76421	Gwynedd	Wales
		No	No (EEC)	31807

Mid Glamorgan	390175	Yes	Yes (EEC)	147348	Mid Glamorgan and Gwent	Wales
		No	No (EEC)	111672

Powys	76531	Yes	Yes (EEC)	38724	Powys	Wales
		No	No (EEC)	13372

South Glamorgan	275324	Yes	Yes (EEC)	127932	South Glamorgan	Wales
		No	No (EEC)	56224

West Glamorgan	272818	Yes	Yes (EEC)	112989	West Glamorgan	Wales
		No	No (EEC)	70316

Borders	74834	Yes	Yes (EEC)	34092	Borders	East Scotland
		No	No (EEC)	13053

Central	188613	Yes	Yes (EEC)	71986	Central	East Scotland
		No	No (EEC)	48568

Dumfries and Galloway	101703	Yes	Yes (EEC)	42608	Dumfries and Galloway	West Scotland
		No	No (EEC)	19856

Fife	235166	Yes	Yes (EEC)	84239	Fife	East Scotland
		No	No (EEC)	65260

Grampian	321140	Yes	Yes (EEC)	108520	Grampian	East Scotland
		No	No (EEC)	78071

Highland	127925	Yes	Yes (EEC)	40802	Highland	East Scotland
		No	No (EEC)	33979

Lothian	548369	Yes	Yes (EEC)	208133	Edinburgh area	East Scotland
		No	No (EEC)	141456

Orkney	13157	Yes	Yes (EEC)	3911	Orkney and Shetland	East Scotland
		No	No (EEC)	2419

Shetland	13411	No (EEC)	No (EEC)	3631	Orkney and Shetland	East Scotland
		Yes (EEC)	Yes (EEC)	2815

Strathclyde	1759889	Yes	Yes (EEC)	625959	Glasgow area	West Scotland
		No	No (EEC)	459073

Tayside	282160	Yes	Yes (EEC)	105728	Tayside	East Scotland
		No	No (EEC)	74567

Western Isles	22432	No (EEC)	No (EEC)	8106	Western Isles	East Scotland
		Yes (EEC)	Yes (EEC)	3393

Northern Ireland	1030534	Yes	Yes (EEC)	259251	Northern Ireland	Northern Ireland
		No	No (EEC)	237911
